"objid","gefaess_id","bemerkung","gefaesstyp","auspraegung_1","auspraegung_2","auspraegung_3","auspraegung_4","auspraegung_5","dimension","ort","region","saison","gefaesstyp_txt","auspraegung_1_txt","auspraegung_2_txt","auspraegung_3_txt","auspraegung_4_txt","auspraegung_5_txt","region_txt","saison_txt","dimension_txt","geometry"
"1","154","","4","7","1","1","1","1","2","Haltestelle Bahnhof Tiefenbrunnen","1","0","Zuerikuebel","Generation_4","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2684796.5 1244966.2)"
"2","155","","5","8","12","1","1","1","4","Haltestelle Bahnhof Tiefenbrunnen","1","0","Abfallhai","Ascher","Sackrollenhalter","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L150","POINT (2684800.8 1244989.9)"
"3","156","","0","3","1","1","1","1","0","Seefeldstrasse 311","1","0","Robidog","Block","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","unbekannt","POINT (2685091.2 1244653.8)"
"4","157","","4","17","1","1","1","1","2","Rainstrasse 40","1","0","Zuerikuebel","andere","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2682263.2 1244219)"
"5","158","","0","3","1","1","1","1","0","Wachtelstrasse 15","1","0","Robidog","Block","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","unbekannt","POINT (2682289.8 1244170.1)"
"6","159","","0","3","1","1","1","1","0","Wernerstrasse 27","1","0","Robidog","Block","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","unbekannt","POINT (2682340.5 1244126.8)"
"7","160","","4","17","1","1","1","1","2","Butzenstrasse 4","1","0","Zuerikuebel","andere","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2682455.2 1243980)"
"8","161","","4","17","1","1","1","1","2","Butzenstrasse 3","1","0","Zuerikuebel","andere","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2682461.5 1243958.4)"
"9","162","","4","17","1","1","1","1","2","Albisstrasse 76","1","0","Zuerikuebel","andere","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2682503 1243982)"
"10","164","","5","8","11","1","1","1","4","Haltestelle Butzenstrasse","1","0","Abfallhai","Ascher","Innenkuebel","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L150","POINT (2682493 1243911.1)"
"11","165","","5","8","11","1","1","1","4","Haltestelle Butzenstrasse","1","0","Abfallhai","Ascher","Innenkuebel","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L150","POINT (2682504.2 1243917.6)"
"12","166","","4","17","1","1","1","1","2","Albisstrasse 81","1","0","Zuerikuebel","andere","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2682500.2 1243864.6)"
"13","167","","4","17","1","1","1","1","2","Albisstrasse 81","1","0","Zuerikuebel","andere","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2682492.2 1243836)"
"14","168","","5","8","11","1","1","1","4","Haltestelle Butzenstrasse","1","0","Abfallhai","Ascher","Innenkuebel","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L150","POINT (2682499.5 1243899.2)"
"15","169","","4","17","1","1","1","1","2","Speerstrasse 60","1","0","Zuerikuebel","andere","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2682390.8 1243790.2)"
"16","170","","4","17","1","1","1","1","2","Haltestelle Verenastrasse","1","0","Zuerikuebel","andere","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2682119.8 1243900.1)"
"17","171","","4","17","1","1","1","1","2","Haltestelle Verenastrasse","1","0","Zuerikuebel","andere","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2682121.5 1243919.5)"
"18","172","","4","17","9","3","1","1","2","Eidechsenweg","1","0","Zuerikuebel","andere","Dispenser_Dog","Block","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2681925.8 1243882.5)"
"19","173","","4","17","9","3","1","1","2","Hinterhagenweg","1","0","Zuerikuebel","andere","Dispenser_Dog","Block","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2681735.2 1244231.9)"
"20","174","","4","17","9","3","1","1","2","Hinterhagenweg","1","0","Zuerikuebel","andere","Dispenser_Dog","Block","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2681808.5 1244528)"
"21","176","","4","17","9","3","1","1","2","Scheibenstrasse / Rainstrasse","1","0","Zuerikuebel","andere","Dispenser_Dog","Block","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2681953.2 1244717.1)"
"22","177","","4","17","9","1","1","1","2","Thujastrasse 60","1","0","Zuerikuebel","andere","Dispenser_Dog","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2681996.2 1244648.6)"
"23","178","","4","17","9","1","1","1","2","Rainstrasse 95","1","0","Zuerikuebel","andere","Dispenser_Dog","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2682100.5 1244535.4)"
"24","179","","4","7","1","1","1","1","2","Mutschellenstrasse 154","1","0","Zuerikuebel","Generation_4","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2682415 1244429.8)"
"25","180","","4","7","1","1","1","1","2","Haltestelle Besenrainstrasse","1","0","Zuerikuebel","Generation_4","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2682294 1244454.4)"
"26","181","","4","7","1","1","1","1","2","Salomon-Vögelin Strasse 10","1","0","Zuerikuebel","Generation_4","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2682211.8 1244640.1)"
"27","182","","4","7","1","1","1","1","2","Salomon-Vögelin Strasse 10","1","0","Zuerikuebel","Generation_4","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2682166.5 1244649.4)"
"28","183","","4","7","1","1","1","1","2","Haltestelle Jugendherberge","1","0","Zuerikuebel","Generation_4","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2682300.8 1244746.2)"
"29","184","","4","17","1","1","1","1","2","Haltestelle Jugendherberge","1","0","Zuerikuebel","andere","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2682309.5 1244703)"
"30","185","","4","7","1","1","1","1","2","Mutschellenstrasse 120","1","0","Zuerikuebel","Generation_4","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2682314.2 1244614.6)"
"31","186","","4","7","1","1","1","1","2","Haltestelle Jugendherberge","1","0","Zuerikuebel","Generation_4","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2682362.2 1244579.5)"
"32","187","","4","7","1","1","1","1","2","Mutschellenstrasse 144","1","0","Zuerikuebel","Generation_4","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2682395.2 1244532.8)"
"33","188","","4","7","1","1","1","1","2","Haltestelle Thujastrasse","1","0","Zuerikuebel","Generation_4","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2682312.2 1244929.4)"
"34","189","","4","7","1","1","1","1","2","Haltestelle Thujastrasse","1","0","Zuerikuebel","Generation_4","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2682278 1244961.5)"
"35","190","","4","17","9","1","1","1","2","Redingstrasse 45","1","0","Zuerikuebel","andere","Dispenser_Dog","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2682110.2 1244840.4)"
"36","191","","4","17","1","1","1","1","2","Bellariastrasse 56","1","0","Zuerikuebel","andere","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2682431 1244864)"
"37","192","","4","17","9","1","1","1","2","Bellariastrasse 2","1","0","Zuerikuebel","andere","Dispenser_Dog","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2682487.2 1244957.2)"
"38","193","","4","17","9","1","1","1","2","Bellariastrasse 12","1","0","Zuerikuebel","andere","Dispenser_Dog","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2682529 1244767.6)"
"39","194","","4","17","1","1","1","1","2","Haltestelle Bahnhof Wollishofen","1","0","Zuerikuebel","andere","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2682675.8 1244600.2)"
"40","195","","4","17","1","1","1","1","2","Haltestelle Bahnhof Wollishofen","1","0","Zuerikuebel","andere","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2682697.5 1244611.2)"
"41","198","","4","17","1","1","1","1","2","Seestrasse 365","1","0","Zuerikuebel","andere","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2682758.2 1244372.1)"
"42","199","","0","3","1","1","1","1","0","Renggenstrasse 25","1","0","Robidog","Block","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","unbekannt","POINT (2682633.2 1244474.6)"
"43","200","","4","7","1","1","1","1","2","Mutschellenstrasse 188","1","0","Zuerikuebel","Generation_4","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2682452.2 1244292.4)"
"44","201","","4","7","1","1","1","1","2","Mutschellenstrasse 188","1","0","Zuerikuebel","Generation_4","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2682445 1244308.6)"
"45","202","","4","7","1","1","1","1","2","Haltestelle Morgental","1","0","Zuerikuebel","Generation_4","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2682441 1244255.5)"
"46","203","","4","7","1","1","1","1","2","Haltestelle Morgental","1","0","Zuerikuebel","Generation_4","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2682460.5 1244246.6)"
"47","204","","4","7","1","1","1","1","2","Haltestelle Morgental","1","0","Zuerikuebel","Generation_4","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2682465.2 1244230)"
"48","205","","4","17","1","1","1","1","2","Haltestelle Morgental","1","0","Zuerikuebel","andere","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2682479.8 1244185.6)"
"49","206","","4","17","1","1","1","1","2","Haltestelle Morgental","1","0","Zuerikuebel","andere","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2682493.8 1244197.5)"
"50","207","","4","17","1","1","1","1","2","Albisstrasse 59","1","0","Zuerikuebel","andere","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2682566 1244078.5)"
"51","208","","4","17","1","1","1","1","2","Albisstrasse 62","1","0","Zuerikuebel","andere","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2682508 1244080.2)"
"52","209","","4","17","1","1","1","1","2","Eggweg","1","0","Zuerikuebel","andere","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2682693.8 1243898)"
"53","210","","4","17","1","1","1","1","2","Auf der Egg 3","1","0","Zuerikuebel","andere","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2682673.8 1243926.1)"
"54","211","","4","17","1","1","1","1","2","Auf der Egg 5","1","0","Zuerikuebel","andere","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2682668.5 1243957.4)"
"55","212","","4","17","1","1","1","1","2","Eggpromenade","1","0","Zuerikuebel","andere","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2682671.8 1243878.5)"
"56","213","","4","17","9","3","1","1","2","Eggpromenade","1","0","Zuerikuebel","andere","Dispenser_Dog","Block","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2682656 1243877.8)"
"57","214","","4","17","9","3","1","1","2","Zellerstrasse 52","1","0","Zuerikuebel","andere","Dispenser_Dog","Block","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2682937.2 1243961.5)"
"58","215","","4","17","9","1","1","1","2","Wettsteinstrasse 2","1","0","Zuerikuebel","andere","Dispenser_Dog","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2682872 1244093.1)"
"59","216","","4","17","1","1","1","1","2","Haltestelle Rote Fabrik","1","0","Zuerikuebel","andere","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2682930 1244141.5)"
"60","217","","4","17","1","1","1","1","2","Haltestelle Rote Fabrik","1","0","Zuerikuebel","andere","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2682934.5 1244083.8)"
"61","218","","5","12","10","1","1","1","4","Seestrasse 471","1","0","Abfallhai","Sackrollenhalter","Klappe_Gamma","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L150","POINT (2683190 1243785.2)"
"62","219","","5","12","10","1","1","1","4","Seestrasse 489","1","0","Abfallhai","Sackrollenhalter","Klappe_Gamma","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L150","POINT (2683180.8 1243812.1)"
"63","220","","5","12","10","1","1","1","4","Seestrasse 457","1","0","Abfallhai","Sackrollenhalter","Klappe_Gamma","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L150","POINT (2683172.5 1243837)"
"64","221","","5","12","10","1","1","1","4","Seestrasse 457","1","0","Abfallhai","Sackrollenhalter","Klappe_Gamma","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L150","POINT (2683162 1243863)"
"65","222","","0","3","1","1","1","1","0","Seestrasse 457","1","0","Robidog","Block","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","unbekannt","POINT (2683135.5 1243891.4)"
"66","223","","5","12","10","1","1","1","4","Seestrasse 457","1","0","Abfallhai","Sackrollenhalter","Klappe_Gamma","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L150","POINT (2683167.2 1243915.6)"
"67","224","","3","3","1","1","1","1","0","GZ Wollishofen","1","0","Dispenser","Block","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","unbekannt","POINT (2682951.5 1244403.8)"
"68","225","","4","7","1","1","1","1","2","Kehrplatz Bachstrasse","1","0","Zuerikuebel","Generation_4","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2682886 1244412.9)"
"69","226","","6","14","1","1","1","1","0","Eingang Wiese Bachstrasse","1","0","Unterflur","Walzinger","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","unbekannt","POINT (2682906 1244412.9)"
"70","227","","3","3","1","1","1","1","0","Eingang Wiese Bachstrasse","1","0","Dispenser","Block","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","unbekannt","POINT (2682903.2 1244426.2)"
"71","228","","7","16","1","1","1","1","8","Wiese Bachstrasse","1","2","Container","Stahl","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","Sommer","L800","POINT (2682897.5 1244444.4)"
"72","41","","4","17","1","1","1","1","2","Haltestelle Sunau","1","0","Zuerikuebel","andere","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2682449 1242387.9)"
"73","42","","4","17","9","3","1","1","2","Albisriedenstrasse 250","1","0","Zuerikuebel","andere","Dispenser_Dog","Block","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2682448.5 1242362.4)"
"74","43","","4","17","1","1","1","1","2","Haltestelle Sunau","1","0","Zuerikuebel","andere","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2682463.8 1242384.1)"
"75","44","","4","17","1","1","1","1","2","Risweg 1 / Haltestelle Im Hüsli","1","0","Zuerikuebel","andere","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2681178.5 1242501.6)"
"76","45","","4","17","1","1","1","1","2","Risweg 1 / Haltestelle Im Hüsli","1","0","Zuerikuebel","andere","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2681204.8 1242507.8)"
"77","46","","4","17","1","1","1","1","2","Leimbacherstrasse 160","1","0","Zuerikuebel","andere","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2681216.8 1242356.4)"
"78","47","","4","17","1","1","1","1","2","Haltestelle Sihlweidstrasse","1","0","Zuerikuebel","andere","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2681313.8 1242291.5)"
"79","48","","4","17","1","1","1","1","2","Haltestelle Sihlweidstrasse","1","0","Zuerikuebel","andere","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2681371.8 1242280.9)"
"80","49","","4","17","9","1","1","1","2","Sihlweidstrasse 2","1","0","Zuerikuebel","andere","Dispenser_Dog","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2681389 1242248.8)"
"81","51","","4","17","1","1","1","1","2","Haltestelle Mittelleimbach","1","0","Zuerikuebel","andere","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2681330.5 1241932.4)"
"82","52","","5","8","9","11","1","1","4","Haltestelle Mittelleimbach","1","0","Abfallhai","Ascher","Dispenser_Dog","Innenkuebel","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L150","POINT (2681307.2 1241920.1)"
"83","53","","4","17","9","3","1","1","2","Grossackerstrasse 35","1","0","Zuerikuebel","andere","Dispenser_Dog","Block","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2681234.2 1242129.5)"
"84","54","","4","17","9","1","1","1","2","Grossackerstrasse 100","1","0","Zuerikuebel","andere","Dispenser_Dog","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2680922 1242091.4)"
"85","55","","4","17","1","1","1","1","2","Risweg / Grossackerstrasse","1","0","Zuerikuebel","andere","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2680783.2 1242116.9)"
"86","56","","4","17","1","1","1","1","2","Grossackerstrasse 121","1","0","Zuerikuebel","andere","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2680640.2 1241949.1)"
"87","57","","0","3","1","1","1","1","0","Risweg","1","0","Robidog","Block","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","unbekannt","POINT (2680980.2 1242250.8)"
"88","58","","4","17","9","3","1","1","2","Risweg","1","0","Zuerikuebel","andere","Dispenser_Dog","Block","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2681132.2 1242515)"
"89","59","","4","17","1","1","1","1","2","Owenweg","1","0","Zuerikuebel","andere","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2682264.2 1243596.8)"
"90","60","","4","17","1","1","1","1","2","Owenweg","1","0","Zuerikuebel","andere","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2682292.5 1243604.2)"
"91","62","","4","17","1","1","1","1","2","Moosstrasse 80","1","0","Zuerikuebel","andere","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2682386.8 1243261.9)"
"92","63","","4","17","9","1","1","1","2","Dangelstrasse 25","1","0","Zuerikuebel","andere","Dispenser_Dog","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2682360 1242959.8)"
"93","64","","4","17","9","3","1","1","2","Dangelstrasse 16","1","0","Zuerikuebel","andere","Dispenser_Dog","Block","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2682293.2 1243115.8)"
"94","65","","4","17","9","3","1","1","2","Lochenweg","1","0","Zuerikuebel","andere","Dispenser_Dog","Block","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2682165.5 1242998.4)"
"95","67","","4","17","9","3","1","1","2","Paradiesstrasse","1","0","Zuerikuebel","andere","Dispenser_Dog","Block","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2682080.2 1243240.6)"
"96","68","","4","17","9","3","1","1","2","Paradiesstrasse 73","1","0","Zuerikuebel","andere","Dispenser_Dog","Block","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2682098.8 1243271.8)"
"97","69","","4","17","9","3","1","1","2","Hintermeisterhof","1","0","Zuerikuebel","andere","Dispenser_Dog","Block","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2682028.2 1243344.8)"
"98","71","","4","17","9","1","1","1","2","Hesenlooweg 7","1","0","Zuerikuebel","andere","Dispenser_Dog","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2681989.5 1243678.2)"
"99","72","","4","17","9","3","1","1","2","Batzenstrasse","1","0","Zuerikuebel","andere","Dispenser_Dog","Block","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2681891.2 1243636.1)"
"100","73","","5","8","11","1","1","1","2","Studackerstrasse 1","1","0","Abfallhai","Ascher","Innenkuebel","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2682511.8 1243681.4)"
"101","74","","5","8","11","1","1","1","2","Studackerstrasse 1","1","0","Abfallhai","Ascher","Innenkuebel","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2682523 1243677.9)"
"102","75","","5","8","11","1","1","1","4","Haltestelle Wollishofen","1","0","Abfallhai","Ascher","Innenkuebel","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L150","POINT (2682518.5 1243659.9)"
"103","76","","5","8","10","11","1","1","4","Haltestelle Wollishofen","1","0","Abfallhai","Ascher","Klappe_Gamma","Innenkuebel","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L150","POINT (2682502 1243664.1)"
"104","77","","5","8","11","1","1","1","4","Haltestelle Wollishofen","1","0","Abfallhai","Ascher","Innenkuebel","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L150","POINT (2682516 1243646.4)"
"105","78","","5","8","10","11","1","1","4","Haltestelle Wollishofen","1","0","Abfallhai","Ascher","Klappe_Gamma","Innenkuebel","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L150","POINT (2682501.5 1243646.8)"
"106","79","","5","8","11","1","1","1","4","Albisstrasse 105","1","0","Abfallhai","Ascher","Innenkuebel","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L150","POINT (2682497 1243627.1)"
"107","80","","5","8","11","1","1","1","4","Albisstrasse 105","1","0","Abfallhai","Ascher","Innenkuebel","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L150","POINT (2682496.2 1243611.1)"
"108","81","","5","8","11","1","1","1","4","Haltestelle Wollishofen","1","0","Abfallhai","Ascher","Innenkuebel","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L150","POINT (2682519.5 1243639.4)"
"109","82","","5","8","11","1","1","1","4","Haltestelle Wollishofen","1","0","Abfallhai","Ascher","Innenkuebel","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L150","POINT (2682533 1243632)"
"110","83","","5","8","11","1","1","1","4","Haltestelle Dangelstrasse / Albisstrasse 152","1","0","Abfallhai","Ascher","Innenkuebel","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L150","POINT (2682472 1243174.1)"
"111","84","","4","17","9","3","1","1","2","Albisstrasse 171","1","0","Zuerikuebel","andere","Dispenser_Dog","Block","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2682460.2 1242831.8)"
