"objid","gefaess_id","bemerkung","gefaesstyp","auspraegung_1","auspraegung_2","auspraegung_3","auspraegung_4","auspraegung_5","dimension","ort","region","saison","gefaesstyp_txt","auspraegung_1_txt","auspraegung_2_txt","auspraegung_3_txt","auspraegung_4_txt","auspraegung_5_txt","region_txt","saison_txt","dimension_txt","geometry"
"1260","1405","","4","7","1","1","1","1","2","Haltestelle Stockerstrasse","1","0","Zuerikuebel","Generation_4","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2682838.5 1246911.4)"
"1261","1406","","5","12","1","1","1","1","4","Haltestelle Stockerstrasse","1","0","Abfallhai","Sackrollenhalter","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L150","POINT (2682808.2 1246906.9)"
"1262","1407","","5","12","1","1","1","1","4","Haltestelle Stockerstrasse","1","0","Abfallhai","Sackrollenhalter","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L150","POINT (2682810 1246901.4)"
"1263","1408","","4","7","1","1","1","1","2","Stockerstrasse 50","1","0","Zuerikuebel","Generation_4","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2682767.2 1246906.2)"
"1264","1409","","4","17","9","1","1","1","2","Bleicherweg 33","1","0","Zuerikuebel","andere","Dispenser_Dog","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2682711.8 1246804.8)"
"1265","1410","","4","7","9","3","1","1","2","Grütlistrasse / Park","1","0","Zuerikuebel","Generation_4","Dispenser_Dog","Block","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2682531.2 1246312.8)"
"1266","1411","","4","7","1","1","1","1","2","Grütlistrasse / Park","1","0","Zuerikuebel","Generation_4","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2682540.5 1246253.9)"
"1267","1412","","4","7","9","3","1","1","2","Grütlistrasse / Park","1","0","Zuerikuebel","Generation_4","Dispenser_Dog","Block","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2682540.8 1246166.9)"
"1268","1413","","4","7","1","1","1","1","2","Breitingerstrasse 27","1","0","Zuerikuebel","Generation_4","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2682627.2 1246281.2)"
"1269","1414","","5","8","12","1","1","1","4","Haltestelle Rentenanstalt","1","0","Abfallhai","Ascher","Sackrollenhalter","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L150","POINT (2682806 1246431.6)"
