city,distance,value
Porto Novo,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,NA
Porto Novo,transportation_distance_km,NA
Porto Novo,transportation_distance_km_year,NA
Porto Novo,transportation_distance_total_km_day,NA
Cotonou,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,NA
Cotonou,transportation_distance_km,NA
Cotonou,transportation_distance_km_year,NA
Cotonou,transportation_distance_total_km_day,NA
Bobo Dioulasso,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,NA
Bobo Dioulasso,transportation_distance_km,NA
Bobo Dioulasso,transportation_distance_km_year,NA
Bobo Dioulasso,transportation_distance_total_km_day,NA
Ouagadougou,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,10
Ouagadougou,transportation_distance_km,NA
Ouagadougou,transportation_distance_km_year,NA
Ouagadougou,transportation_distance_total_km_day,NA
Patuakhali,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,NA
Patuakhali,transportation_distance_km,NA
Patuakhali,transportation_distance_km_year,NA
Patuakhali,transportation_distance_total_km_day,NA
Chittagong,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,NA
Chittagong,transportation_distance_km,NA
Chittagong,transportation_distance_km_year,NA
Chittagong,transportation_distance_total_km_day,NA
Rangpur,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,NA
Rangpur,transportation_distance_km,NA
Rangpur,transportation_distance_km_year,NA
Rangpur,transportation_distance_total_km_day,NA
Dhaka,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,10
Dhaka,transportation_distance_km,NA
Dhaka,transportation_distance_km_year,NA
Dhaka,transportation_distance_total_km_day,NA
Rajshahi,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,8
Rajshahi,transportation_distance_km,NA
Rajshahi,transportation_distance_km_year,NA
Rajshahi,transportation_distance_total_km_day,NA
Ruse,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,NA
Ruse,transportation_distance_km,NA
Ruse,transportation_distance_km_year,NA
Ruse,transportation_distance_total_km_day,NA
Burgas,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,NA
Burgas,transportation_distance_km,NA
Burgas,transportation_distance_km_year,NA
Burgas,transportation_distance_total_km_day,NA
Manama,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,NA
Manama,transportation_distance_km,NA
Manama,transportation_distance_km_year,NA
Manama,transportation_distance_total_km_day,NA
Banja Luka,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,13
Banja Luka,transportation_distance_km,NA
Banja Luka,transportation_distance_km_year,NA
Banja Luka,transportation_distance_total_km_day,NA
Sarajevo,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,5
Sarajevo,transportation_distance_km,NA
Sarajevo,transportation_distance_km_year,1334648
Sarajevo,transportation_distance_total_km_day,NA
Minsk,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,18
Minsk,transportation_distance_km,NA
Minsk,transportation_distance_km_year,25100000
Minsk,transportation_distance_total_km_day,NA
Grodno,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,21
Grodno,transportation_distance_km,NA
Grodno,transportation_distance_km_year,1954090
Grodno,transportation_distance_total_km_day,NA
San Pedro,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,NA
San Pedro,transportation_distance_km,NA
San Pedro,transportation_distance_km_year,NA
San Pedro,transportation_distance_total_km_day,NA
Belize City,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,43
Belize City,transportation_distance_km,NA
Belize City,transportation_distance_km_year,NA
Belize City,transportation_distance_total_km_day,NA
La Paz,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,14
La Paz,transportation_distance_km,NA
La Paz,transportation_distance_km_year,NA
La Paz,transportation_distance_total_km_day,NA
"Distrito Federal, Brasilia",transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,15
"Distrito Federal, Brasilia",transportation_distance_km,NA
"Distrito Federal, Brasilia",transportation_distance_km_year,NA
"Distrito Federal, Brasilia",transportation_distance_total_km_day,NA
Rio De Janeiro,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,NA
Rio De Janeiro,transportation_distance_km,NA
Rio De Janeiro,transportation_distance_km_year,NA
Rio De Janeiro,transportation_distance_total_km_day,NA
Sao Paulo,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,NA
Sao Paulo,transportation_distance_km,NA
Sao Paulo,transportation_distance_km_year,NA
Sao Paulo,transportation_distance_total_km_day,NA
PhuentsholingÂ ,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,7.5
PhuentsholingÂ ,transportation_distance_km,NA
PhuentsholingÂ ,transportation_distance_km_year,NA
PhuentsholingÂ ,transportation_distance_total_km_day,NA
Thimphu,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,NA
Thimphu,transportation_distance_km,NA
Thimphu,transportation_distance_km_year,NA
Thimphu,transportation_distance_total_km_day,NA
Gaborone,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,NA
Gaborone,transportation_distance_km,NA
Gaborone,transportation_distance_km_year,NA
Gaborone,transportation_distance_total_km_day,NA
Toronto,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,NA
Toronto,transportation_distance_km,NA
Toronto,transportation_distance_km_year,NA
Toronto,transportation_distance_total_km_day,NA
Ottawa,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,NA
Ottawa,transportation_distance_km,NA
Ottawa,transportation_distance_km_year,NA
Ottawa,transportation_distance_total_km_day,NA
Vancouver,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,NA
Vancouver,transportation_distance_km,NA
Vancouver,transportation_distance_km_year,NA
Vancouver,transportation_distance_total_km_day,NA
Bern,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,NA
Bern,transportation_distance_km,NA
Bern,transportation_distance_km_year,NA
Bern,transportation_distance_total_km_day,NA
Zurich,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,NA
Zurich,transportation_distance_km,NA
Zurich,transportation_distance_km_year,NA
Zurich,transportation_distance_total_km_day,NA
Santiago De Chile,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,NA
Santiago De Chile,transportation_distance_km,NA
Santiago De Chile,transportation_distance_km_year,NA
Santiago De Chile,transportation_distance_total_km_day,NA
Beijing,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,NA
Beijing,transportation_distance_km,NA
Beijing,transportation_distance_km_year,NA
Beijing,transportation_distance_total_km_day,NA
Abidjan,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,NA
Abidjan,transportation_distance_km,NA
Abidjan,transportation_distance_km_year,NA
Abidjan,transportation_distance_total_km_day,NA
Limbe,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,NA
Limbe,transportation_distance_km,NA
Limbe,transportation_distance_km_year,NA
Limbe,transportation_distance_total_km_day,NA
Douala,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,NA
Douala,transportation_distance_km,NA
Douala,transportation_distance_km_year,NA
Douala,transportation_distance_total_km_day,NA
Yaounde,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,NA
Yaounde,transportation_distance_km,NA
Yaounde,transportation_distance_km_year,NA
Yaounde,transportation_distance_total_km_day,NA
Bafoussam,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,NA
Bafoussam,transportation_distance_km,NA
Bafoussam,transportation_distance_km_year,NA
Bafoussam,transportation_distance_total_km_day,NA
Kinshasa,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,NA
Kinshasa,transportation_distance_km,NA
Kinshasa,transportation_distance_km_year,NA
Kinshasa,transportation_distance_total_km_day,NA
Dolisie,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,NA
Dolisie,transportation_distance_km,NA
Dolisie,transportation_distance_km_year,NA
Dolisie,transportation_distance_total_km_day,NA
BogotÃ¡,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,NA
BogotÃ¡,transportation_distance_km,NA
BogotÃ¡,transportation_distance_km_year,NA
BogotÃ¡,transportation_distance_total_km_day,NA
Medellin,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,57
Medellin,transportation_distance_km,NA
Medellin,transportation_distance_km_year,NA
Medellin,transportation_distance_total_km_day,NA
Cali,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,62
Cali,transportation_distance_km,NA
Cali,transportation_distance_km_year,NA
Cali,transportation_distance_total_km_day,NA
Moroni,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,NA
Moroni,transportation_distance_km,NA
Moroni,transportation_distance_km_year,NA
Moroni,transportation_distance_total_km_day,NA
San JosÃ©,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,NA
San JosÃ©,transportation_distance_km,NA
San JosÃ©,transportation_distance_km_year,NA
San JosÃ©,transportation_distance_total_km_day,NA
Alajuela,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,NA
Alajuela,transportation_distance_km,NA
Alajuela,transportation_distance_km_year,4016
Alajuela,transportation_distance_total_km_day,NA
Havana,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,NA
Havana,transportation_distance_km,NA
Havana,transportation_distance_km_year,NA
Havana,transportation_distance_total_km_day,NA
Paralimini,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,NA
Paralimini,transportation_distance_km,NA
Paralimini,transportation_distance_km_year,NA
Paralimini,transportation_distance_total_km_day,NA
Nicosia,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,NA
Nicosia,transportation_distance_km,NA
Nicosia,transportation_distance_km_year,NA
Nicosia,transportation_distance_total_km_day,NA
Karlovy Vary,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,NA
Karlovy Vary,transportation_distance_km,NA
Karlovy Vary,transportation_distance_km_year,NA
Karlovy Vary,transportation_distance_total_km_day,NA
Prague,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,NA
Prague,transportation_distance_km,NA
Prague,transportation_distance_km_year,NA
Prague,transportation_distance_total_km_day,NA
Hamburg,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,NA
Hamburg,transportation_distance_km,NA
Hamburg,transportation_distance_km_year,NA
Hamburg,transportation_distance_total_km_day,NA
Berlin,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,NA
Berlin,transportation_distance_km,NA
Berlin,transportation_distance_km_year,NA
Berlin,transportation_distance_total_km_day,NA
Djiibouti City,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,NA
Djiibouti City,transportation_distance_km,NA
Djiibouti City,transportation_distance_km_year,NA
Djiibouti City,transportation_distance_total_km_day,NA
Copenhagen,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,NA
Copenhagen,transportation_distance_km,NA
Copenhagen,transportation_distance_km_year,NA
Copenhagen,transportation_distance_total_km_day,NA
Santo Domingo,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,16
Santo Domingo,transportation_distance_km,NA
Santo Domingo,transportation_distance_km_year,NA
Santo Domingo,transportation_distance_total_km_day,NA
Algiers,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,NA
Algiers,transportation_distance_km,NA
Algiers,transportation_distance_km_year,NA
Algiers,transportation_distance_total_km_day,NA
Mostaganem,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,NA
Mostaganem,transportation_distance_km,NA
Mostaganem,transportation_distance_km_year,NA
Mostaganem,transportation_distance_total_km_day,NA
Quito,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,NA
Quito,transportation_distance_km,NA
Quito,transportation_distance_km_year,NA
Quito,transportation_distance_total_km_day,NA
Cairo,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,NA
Cairo,transportation_distance_km,NA
Cairo,transportation_distance_km_year,NA
Cairo,transportation_distance_total_km_day,NA
Pamplona,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,NA
Pamplona,transportation_distance_km,NA
Pamplona,transportation_distance_km_year,NA
Pamplona,transportation_distance_total_km_day,NA
Madrid,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,NA
Madrid,transportation_distance_km,NA
Madrid,transportation_distance_km_year,NA
Madrid,transportation_distance_total_km_day,NA
Tallinn,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,NA
Tallinn,transportation_distance_km,NA
Tallinn,transportation_distance_km_year,NA
Tallinn,transportation_distance_total_km_day,NA
Tartummaa,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,NA
Tartummaa,transportation_distance_km,NA
Tartummaa,transportation_distance_km_year,NA
Tartummaa,transportation_distance_total_km_day,NA
Adola Woyu,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,NA
Adola Woyu,transportation_distance_km,NA
Adola Woyu,transportation_distance_km_year,NA
Adola Woyu,transportation_distance_total_km_day,NA
Bule Hora,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,NA
Bule Hora,transportation_distance_km,NA
Bule Hora,transportation_distance_km_year,NA
Bule Hora,transportation_distance_total_km_day,NA
Addis Ababa,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,20.92
Addis Ababa,transportation_distance_km,NA
Addis Ababa,transportation_distance_km_year,NA
Addis Ababa,transportation_distance_total_km_day,NA
Maichew,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,NA
Maichew,transportation_distance_km,NA
Maichew,transportation_distance_km_year,NA
Maichew,transportation_distance_total_km_day,NA
Tepi,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,NA
Tepi,transportation_distance_km,NA
Tepi,transportation_distance_km_year,NA
Tepi,transportation_distance_total_km_day,NA
Gerbe Guracha,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,NA
Gerbe Guracha,transportation_distance_km,NA
Gerbe Guracha,transportation_distance_km_year,NA
Gerbe Guracha,transportation_distance_total_km_day,NA
Weldiya,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,NA
Weldiya,transportation_distance_km,NA
Weldiya,transportation_distance_km_year,NA
Weldiya,transportation_distance_total_km_day,NA
Debre Tabor,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,NA
Debre Tabor,transportation_distance_km,NA
Debre Tabor,transportation_distance_km_year,NA
Debre Tabor,transportation_distance_total_km_day,NA
Bati,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,NA
Bati,transportation_distance_km,NA
Bati,transportation_distance_km_year,NA
Bati,transportation_distance_total_km_day,NA
Dire Dawa,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,NA
Dire Dawa,transportation_distance_km,NA
Dire Dawa,transportation_distance_km_year,NA
Dire Dawa,transportation_distance_total_km_day,NA
Halaba Kulito,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,NA
Halaba Kulito,transportation_distance_km,NA
Halaba Kulito,transportation_distance_km_year,NA
Halaba Kulito,transportation_distance_total_km_day,NA
Dembi Dolo,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,NA
Dembi Dolo,transportation_distance_km,NA
Dembi Dolo,transportation_distance_km_year,NA
Dembi Dolo,transportation_distance_total_km_day,NA
Oulu,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,NA
Oulu,transportation_distance_km,NA
Oulu,transportation_distance_km_year,NA
Oulu,transportation_distance_total_km_day,NA
Riihimaki,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,NA
Riihimaki,transportation_distance_km,NA
Riihimaki,transportation_distance_km_year,NA
Riihimaki,transportation_distance_total_km_day,NA
Turku,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,NA
Turku,transportation_distance_km,NA
Turku,transportation_distance_km_year,NA
Turku,transportation_distance_total_km_day,NA
Suva,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,24
Suva,transportation_distance_km,NA
Suva,transportation_distance_km_year,NA
Suva,transportation_distance_total_km_day,NA
Angers-Loire Metropole,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,NA
Angers-Loire Metropole,transportation_distance_km,NA
Angers-Loire Metropole,transportation_distance_km_year,NA
Angers-Loire Metropole,transportation_distance_total_km_day,NA
Paris,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,NA
Paris,transportation_distance_km,NA
Paris,transportation_distance_km_year,NA
Paris,transportation_distance_total_km_day,NA
Pohnpei,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,NA
Pohnpei,transportation_distance_km,NA
Pohnpei,transportation_distance_km_year,NA
Pohnpei,transportation_distance_total_km_day,NA
Libreville,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,NA
Libreville,transportation_distance_km,NA
Libreville,transportation_distance_km_year,NA
Libreville,transportation_distance_total_km_day,NA
London,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,NA
London,transportation_distance_km,NA
London,transportation_distance_km_year,NA
London,transportation_distance_total_km_day,NA
Bristol,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,NA
Bristol,transportation_distance_km,NA
Bristol,transportation_distance_km_year,NA
Bristol,transportation_distance_total_km_day,NA
